en,46749
de,33336
van,19183
het,18144
zijn,13297
in,12418
den,11217
een,10654
hij,10631
zal,10148
die,9783
tot,9647
zij,8855
ik,8777
gij,8736
is,8069
dat,7931
niet,7674
der,6213
uw,6184
te,6043
u,6028
heere,5951
hem,5885
des,5812
met,5313
op,5170
als,4486
mijn,4435
want,4257
mij,4200
aan,4023
voor,3960
maar,3730
hun,3709
heeft,3543
zo,3521
was,3489
zeide,3408
uit,3283
zult,3117
om,3092
zullen,3077
hen,3063
god,2909
ook,2762
naar,2752
al,2749
haar,2590
hebben,2447
worden,2335
dan,2286
nu,2286
over,2266
koning,2216
zoon,2186
toen,2127
heeren,2045
kinderen,2028
zich,1983
huis,1912
wij,1865
deze,1844
waren,1844
tegen,1813
had,1805
heb,1793
hebt,1769
er,1756
door,1740
wat,1679
volk,1605
ons,1588
dit,1582
geen,1570
israel,1480
land,1474
hand,1467
doen,1447
aangezicht,1437
gelijk,1436
bij,1416
alzo,1391
alle,1351
zeggende,1321
opdat,1280
onder,1150
gods,1147
ziet,1132
zijt,1100
of,1093
israels,1080
dien,1068
ze,1054
man,1019
ten,999
david,994
ben,993
aarde,982
werd,982
jezus,980
dag,976
zou,976
dagen,950
zegt,925
naam,915
doch,909
weg,889
daarom,880
stad,865
ogen,850
vader,849
mozes,846
zonen,842
hart,841
juda,834
allen,831
indien,824
jeruzalem,802
noch,802
woord,781
af,779
daar,764
wie,745
laat,735
twee,726
mannen,721
geven,713
gegeven,709
gedaan,700
zie,700
men,694
dezen,688
ging,666
kwam,661
plaats,660
toe,658
dingen,649
ganse,647
meer,647
onze,642
ziel,639
geschiedde,621
midden,618
omdat,617
komen,608
o,606
zeggen,603
grote,587
ulieden,580
zeiden,575
christus,572
geworden,572
wordt,572
hadden,569
geest,565
zijner,563
maken,562
vrouw,554
woorden,550
gemaakt,545
geweest,545
mensen,537
gekomen,535
stem,528
ter,524
uwer,523
jaren,517
spreekt,513
doet,509
mens,507
daarna,506
duizend,506
wanneer,500
gijlieden,499
waar,498
weder,496
zijnde,491
gesproken,483
zeer,477
nog,476
gaan,471
zouden,468
tijd,466
sprak,457
geboden,455
niemand,455
zag,453
kwamen,452
hetwelk,450
zijns,445
konings,443
steden,440
uws,439
welke,439
zeg,435
eten,434
dezelve,432
nam,432
kwaad,429
vaderen,429
alles,428
ja,427
wet,425
dage,423
hoe,420
mond,419
weet,418
zien,417
toch,416
leven,415
na,415
heidenen,413
hemel,413
tussen,411
heen,410
volken,410
goed,405
handen,405
drie,403
gezegd,402
priester,402
gaf,401
zeven,401
vuur,400
komt,398
deed,395
werden,391
aldaar,387
vlees,386
bloed,385
wil,385
hoofd,380
knechten,379
egypte,377
saul,377
maakte,375
zwaard,375
andere,373
eeuwigheid,372
rondom,367
hetgeen,365
waarom,359
recht,358
werk,357
broeder,355
weten,355
gehoord,353
zee,351
gezien,350
groot,350
spreken,349
knecht,346
totdat,345
dood,344
vaders,344
aaron,341
ga,341
horen,341
dochter,336
iegelijk,336
koningen,336
water,336
broeders,328
heer,326
degenen,325
gaat,322
geslacht,322
mijns,320
wel,320
altaar,317
jakob,314
voeten,311
boven,307
hebbende,307
woestijn,307
vele,306
koninkrijk,304
heerlijkheid,303
salomo,303
jaar,301
iemand,300
anderen,298
doden,298
goud,297
nemen,296
volks,293
vijf,292
vrouwen,291
antwoordde,289
daarin,289
doe,288
goede,286
heilige,286
twintig,285
babel,282
moeder,282
gerechtigheid,281
zond,281
dewijl,280
tent,280
farao,279
geschreven,279
gevonden,279
brood,277
vrede,277
berg,276
broederen,275
heirscharen,275
hunner,275
stond,271
geschieden,270
vier,269
heiligen,267
gingen,262
namen,262
hetzelve,261
toorn,261
wereld,261
vanwege,260
zijde,258
wederom,257
alleen,256
eer,256
filistijnen,256
ieder,255
brengen,254
henen,254
einde,252
hier,250
levieten,249
zaad,249
hoort,248
wateren,248
kennen,247
wonen,246
discipelen,245
joden,245
lands,245
maand,244
gezonden,243
goden,243
vorsten,243
kracht,242
wezen,242
zonden,242
klederen,241
welken,241
ongerechtigheid,240
profeten,240
stam,239
gans,238
riep,237
veel,237
zoudt,237
profeet,233
heden,232
jozef,232
zichzelven,232
buiten,231
vijanden,231
werken,231
sterven,229
worde,227
geloof,226
onzen,226
verbond,226
ark,225
mijner,225
abraham,224
eens,224
gesteld,223
geeft,222
hoorde,222
maakt,222
waarheid,220
wijsheid,219
oversten,218
dewelke,217
honderd,217
deel,216
ellen,215
verre,215
tien,214
zonde,214
zaak,213
dochteren,212
zodat,212
dienen,209
eerste,209
jozua,209
daartoe,207
egypteland,207
schapen,207
licht,205
daarvan,204
genade,203
neder,203
zonder,203
inwoners,202
bekend,201
gewon,201
niets,200
poort,200
beth,199
engel,199
nacht,199
bracht,198
oud,198
huisvrouw,197
jordaan,197
offeren,197
deur,194
overste,194
ander,193
landpale,193
drinken,190
wegen,189
vervuld,188
wiens,188
kunnen,187
sloeg,187
leger,186
namelijk,185
plaatsen,185
geschied,184
kan,184
geslachten,183
laten,183
dienst,182
priesters,182
toog,181
achter,180
vergadering,180
brandoffer,179
olie,179
bergen,178
houden,177
neem,177
veld,177
macht,176
verlaten,176
voorts,176
vrucht,176
hemels,175
menigte,174
vee,174
zon,174
hemelen,172
wijn,172
dertig,171
efraim,171
zoeken,171
gemeente,170
geef,169
goddelozen,169
vol,169
lichaam,168
zilver,168
gedood,166
